MARKET_REGION,ASSET_CATEGORY,ISSUER_NAME,INDUSTRY_SECTOR,TOP_LEVEL_OPENFIGI_ID,SECURITY_NAME,PRIMARY_TICKER,PRIMARY_EXCHANGE_CODE,PRIMARY_EXCHANGE_NAME,COUNTRY_OF_DOMICILE,EXCHANGE_CODES
USA,ETF,ABRDN PLATINUM ETF TRUST,"Commodity contracts brokers, dealers",BBG001T6GDY9,ABRDN PHYSICAL PLATINUM SHRS,PPLT,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""B1"",
  ""B2"",
  ""B4"",
  ""E1"",
  ""EP"",
  ""EU"",
  ""EZ"",
  ""GB"",
  ""GR"",
  ""LA"",
  ""LU"",
  ""MF"",
  ""MM"",
  ""MU"",
  ""OC"",
  ""PQ"",
  ""TH"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UL"",
  ""UM"",
  ""UN"",
  ""UO"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY"",
  ""X2"",
  ""XA"",
  ""XB"",
  ""XC"",
  ""XD"",
  ""XE"",
  ""XF"",
  ""XG"",
  ""XH"",
  ""XI"",
  ""XJ"",
  ""XL"",
  ""XM"",
  ""XN"",
  ""XO"",
  ""XP"",
  ""XQ"",
  ""XR"",
  ""XS"",
  ""XT"",
  ""XU"",
  ""XV"",
  ""XW"",
  ""XX"",
  ""XZ""
]"
USA,ETF,ABRDN PRECIOUS METALS BASKET ETF TRUST,"Commodity contracts brokers, dealers",BBG001T79CF8,ABRDN PHYSICAL PRECIOUS MET,GLTR,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""B1"",
  ""B2"",
  ""B4"",
  ""E1"",
  ""EU"",
  ""GB"",
  ""GC"",
  ""GD"",
  ""GE"",
  ""GF"",
  ""GH"",
  ""GI"",
  ""GM"",
  ""GQ"",
  ""GR"",
  ""GS"",
  ""GT"",
  ""GW"",
  ""GY"",
  ""LA"",
  ""LU"",
  ""MF"",
  ""MM"",
  ""MU"",
  ""OC"",
  ""PQ"",
  ""T2"",
  ""TH"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UL"",
  ""UM"",
  ""UN"",
  ""UO"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY"",
  ""WT"",
  ""X2"",
  ""XA"",
  ""XB"",
  ""XC"",
  ""XD"",
  ""XE"",
  ""XF"",
  ""XG"",
  ""XH"",
  ""XI"",
  ""XJ"",
  ""XL"",
  ""XM"",
  ""XN"",
  ""XO"",
  ""XP"",
  ""XQ"",
  ""XR"",
  ""XS"",
  ""XT"",
  ""XU"",
  ""XV"",
  ""XW"",
  ""XX"",
  ""XZ""
]"
USA,ETF,ABRDN SILVER ETF TRUST,"Commodity contracts brokers, dealers",BBG001T56K58,ABRDN PHYSICAL SILVER SHARES,SIVR,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""B1"",
  ""B4"",
  ""E1"",
  ""EP"",
  ""EU"",
  ""EZ"",
  ""GB"",
  ""GC"",
  ""GD"",
  ""GE"",
  ""GF"",
  ""GH"",
  ""GI"",
  ""GM"",
  ""GQ"",
  ""GR"",
  ""GS"",
  ""GT"",
  ""GW"",
  ""GY"",
  ""LA"",
  ""LU"",
  ""MF"",
  ""MM"",
  ""MU"",
  ""OC"",
  ""PQ"",
  ""TH"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UL"",
  ""UM"",
  ""UN"",
  ""UO"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY"",
  ""X1"",
  ""X2"",
  ""XA"",
  ""XB"",
  ""XC"",
  ""XD"",
  ""XE"",
  ""XF"",
  ""XG"",
  ""XH"",
  ""XI"",
  ""XJ"",
  ""XL"",
  ""XM"",
  ""XN"",
  ""XO"",
  ""XP"",
  ""XQ"",
  ""XR"",
  ""XS"",
  ""XT"",
  ""XU"",
  ""XV"",
  ""XW"",
  ""XX"",
  ""XY"",
  ""XZ""
]"
USA,ETF,ABRDN WORLD HEALTHCARE FUND,,BBG008NVFX18,ABRDN WORLD HEALTHCARE FUND,THW,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""OC"",
  ""PQ"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UM"",
  ""UN"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY""
]"
USA,ETF,ACAP STRATEGIC FUND,,BBG0099X04Z1,ACAP STRATEGIC FUND-A,XCAPX,,US,US,"[
  ""US""
]"
USA,ETF,ADVENT CONVERTIBLE & INCOME FUND,,BBG001SJLCH7,ADVENT CONVERT & INCOME,AVK,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""OC"",
  ""PQ"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UL"",
  ""UM"",
  ""UN"",
  ""UO"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY""
]"
USA,ETF,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,Real Estate,BBG00NZ6VPF1,AEI INCOME & GROWTH FND XXII,XAEIU,OTC,OVER-THE-COUNTER,US,"[
  ""US""
]"
USA,ETF,ALLSPRING GLOBAL DIVIDEND OPPORTUNITY FUND,,BBG001SM51M6,ALLSPRING GLOBAL DIVIDEND OP,EOD,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""OC"",
  ""PQ"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UL"",
  ""UM"",
  ""UN"",
  ""UO"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY""
]"
USA,ETF,ALLSPRING INCOME OPPORTUNITIES FUND,,BBG001SJH6Q5,ALLSPRING INCOME OPPORT,EAD,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""OC"",
  ""PQ"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UL"",
  ""UM"",
  ""UN"",
  ""UO"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY""
]"
USA,ETF,ALLSPRING MULTI-SECTOR INCOME FUND,,BBG001SLHRS2,ALLSPRING MULTI-SECTOR INC,ERC,NYS,NEW YORK STOCK EXCHANGE,US,"[
  ""OC"",
  ""PQ"",
  ""UA"",
  ""UB"",
  ""UC"",
  ""UD"",
  ""UF"",
  ""UI"",
  ""UJ"",
  ""UL"",
  ""UM"",
  ""UN"",
  ""UO"",
  ""UP"",
  ""UQ"",
  ""UR"",
  ""US"",
  ""UT"",
  ""UU"",
  ""UV"",
  ""UW"",
  ""UX"",
  ""VF"",
  ""VG"",
  ""VJ"",
  ""VK"",
  ""VL"",
  ""VP"",
  ""VY""
]"
